"","date","int_inf","pronostico","int_sup","value"
"73",2022-02-11,20.7352835658814,22.7343400529438,24.9261224714249,20.5008
"74",2022-02-12,20.7349334741557,22.7467881243384,24.9538476030539,20.4148
"75",2022-02-13,20.7346652293227,22.7592258492307,24.9814672929354,20.4148
"76",2022-02-14,20.734476902802,22.7716532379161,25.0089835214419,20.4148
"77",2022-02-15,20.7343666282782,22.7840703007062,25.036398206615,20.4188
"78",2022-02-16,20.7343325989158,22.7964770479288,25.0637132069502,20.411
"79",2022-02-17,20.7343730647329,22.8088734899274,25.090930324023,20.3992
"80",2022-02-18,20.7344863301227,22.8212596370614,25.1180513049675,20.3335
"81",2022-02-19,20.7346707515121,22.8336354997059,25.1450778448173,20.2978
"82",2022-02-20,20.7349247351497,22.8460010882512,25.1720115887176,20.2978
"83",2022-02-21,20.7352467350131,22.8583564131035,25.198854134018,20.2978
"84",2022-02-22,20.7356352508285,22.8707014846839,25.2256070322524,20.3063
"85",2022-02-23,20.7360888261948,22.8830363134287,25.2522717910148,20.2825
"86",2022-02-24,20.7366060468065,22.8953609097893,25.2788498757364,20.2977
"87",2022-02-25,20.7371855387678,22.9076752842321,25.3053427113715,20.2435
"88",2022-02-26,20.7378259669934,22.919979447238,25.3317516839966,20.6525
"89",2022-02-27,20.7385260336894,22.9322734093026,25.3580781423285,20.6525
"90",2022-02-28,20.7392844769114,22.9445571809364,25.3843233991677,20.6525
"91",2022-03-01,20.7401000691926,22.9568307726638,25.4104887327691,20.4465
"92",2022-03-02,20.7409716162391,22.9690941950236,25.4365753881462,20.4257
"93",2022-03-03,20.7418979556896,22.981347458569,25.4625845783127,20.5272
"94",2022-03-04,20.7428779559324,22.9935905738671,25.4885174854641,20.7193
"95",2022-03-05,20.7439105149804,23.0058235514989,25.5143752621034,20.7033
"96",2022-03-06,20.744994559397,23.0180464020591,25.5401590321144,20.7033
"97",2022-03-07,20.7461290432733,23.0302591361562,25.565869891785,20.7033
"98",2022-03-08,20.7473129472512,23.0424617644122,25.5915089107837,20.9262
"99",2022-03-09,20.7485452775916,23.0546542974625,25.6170771330916,21.1947
"100",2022-03-10,20.7498250652834,23.066836745956,25.6425755778928,21.3775
"101",2022-03-11,20.7511513651939,23.0790091205545,25.6680052404245,20.9677
"102",2022-03-12,20.7525232552545,23.0911714319331,25.6933670927904,20.9743
"103",2022-03-13,20.7539398356839,23.1033236907797,25.7186620847383,20.9743
"104",2022-03-14,20.7554002282437,23.1154659077952,25.7438911444039,20.9743
"105",2022-03-15,20.7569035755261,23.1275980936931,25.7690551790233,20.9695
"106",2022-03-16,20.7584490402719,23.1397202591996,25.7941550756144,20.8908
"107",2022-03-17,20.7600358047173,23.1518324150533,25.8191917016307,20.8743
"108",2022-03-18,20.7616630699675,23.1639345720053,25.8441659055871,20.7035
"109",2022-03-19,20.7633300553964,23.1760267408187,25.8690785176602,20.5585
