Estación,Retiros,Arribos,Genero M,Genero F,Edad Promedio
57,1957,1960,1426,503,37.33469596320899
58,3306,3265,2262,936,37.21718088324259
59,4433,4873,2995,1299,35.58538235957591
6,3828,3891,2532,1237,36.098223615464995
60,3855,3499,2499,1257,36.44150453955901
61,4062,4345,2831,1079,35.85007385524372
62,2500,2422,1719,712,38.172
63,3540,3676,2140,1280,34.561299435028246
64,7562,8024,5296,2118,35.55699550383496
65,2497,2763,1755,610,36.55586704044854
66,4402,4248,2916,1402,36.688550658791456
67,3380,3304,2342,983,36.835798816568044
68,3370,3759,2075,1169,35.75994065281899
69,3573,3776,2433,1017,36.357682619647356
7,4266,4594,3193,973,38.824894514767934
70,4904,5074,3201,1385,34.125815660685156
71,3822,3911,2431,1296,36.75170068027211
72,3854,3736,2442,1294,35.540996367410486
73,3785,3639,2699,1024,36.24015852047556
74,5028,5027,3361,1508,36.4027446300716
75,3269,3162,2303,896,35.69960232486999
76,2606,2559,1608,929,35.028396009209516
77,3501,3320,2409,1064,37.1033990288489
78,2261,1826,1467,763,36.58425475453339
79,3662,3519,2570,1012,36.14964500273075
8,2044,1984,1491,439,36.83317025440313
80,3674,3285,2236,1371,36.14616222101252
81,1340,1289,809,508,35.46716417910448
82,4323,4337,3249,973,39.68031459634513
83,2578,2598,1752,771,37.68463925523662
84,4933,4896,3510,1373,36.10399351307521
85,3002,3033,2331,656,37.02498334443704
86,4038,3773,2920,1074,34.88558692421991
87,3961,4360,2952,869,40.201211815198185
89,2200,2233,1458,531,36.05909090909091
9,3133,3092,2343,741,36.041174593041816
90,1208,1301,868,237,36.62334437086093
91,1640,1677,1105,488,36.40670731707317
92,2511,2542,2030,421,37.61688570290721
93,1614,2198,1149,420,37.65613382899628
94,1145,1174,783,302,35.74410480349345
95,2412,2754,1634,570,38.64469320066335
96,5118,5756,4065,974,40.860492379835875
97,1884,1981,1301,539,37.57006369426752
98,1994,2131,1534,338,37.64593781344032
99,2468,2504,1880,538,38.89748784440843
